IPP-Werkspoor;;Is onderdeel van IPP-Werkspoor;;;IPP-Werksporen;;;Activiteiten;;;Wordt in huidige situatie uitgevoerd met Tools;;Heeft output Product;;Heeft input Product;;Heeft verantwoordelijke Persoon;
;Naam;;Code;Naam;;Code;Naam;;Nummer tbv volgorde;Naam;;Naam;;Naam;;Naam;;Name
IPP-54;Informatie (klantvraag);IPP-47;;PB-Afbakening (klantopgave);;;;ACT-153;;Beschikbaar stellen producten / overdrachtsdossier;TLS-32;Relatics;PRD-327;Opleverdossier;;;PRS-11;Tom van der Meijs
;;;;;;;;;;;TLS-99;MS Sharepoint;;;;;;
IPP-6;Integraal Project- en Programmamanagement;;;;IPP-5;5;Plan Management;ACT-123;;;;;;;;;PRS-1;Ronald Braam
;;;;;IPP-4;4;Klant en Omgevingsmanagement;;;;;;;;;;PRS-2;Wim Kloezen
;;;;;IPP-3;3;Technisch Management;;;;;;;;;;;
;;;;;IPP-2;2;Contract Management;;;;;;;;;;;
;;;;;IPP-30;6;Projectbeheersing;;;;;;;;;;;
;;;;;IPP-1;1;Besluit spoor Projectmanagement;;;;;;;;;;;
IPP-9;Integrale Veiligheidsmanagement;IPP-1;1;Besluit spoor Projectmanagement;;;;ACT-159;1;Opstellen integraal veiligheidsplan;;;;;;;PRS-2;Wim Kloezen
;;;;;;;;ACT-160;3;Bijhouden veiligheidsdossier;;;;;;;;
;;;;;;;;ACT-161;2;Opstellen RI&E per veiligheidsdomein;;;;;;;;
IPP-28;Juridische toetsing;IPP-5;5;Plan Management;;;;;;;;;;;;;PRS-10;N.t.b.
IPP-4;Klant en Omgevingsmanagement;IPP-6;0;Integraal Project- en Programmamanagement;IPP-21;4.1;Conditioneringen;;;;;;;;;;PRS-5;Paul Hoogerwerf
;;;;;IPP-22;4.2;Vergunningmanagement;;;;;;;;;;PRS-6;Lotte Diephuis
;;;;;IPP-23;4.3;Grondverwerving;;;;;;;;;;PRS-12;Eline Bremer
;;;;;IPP-24;4.4;Verkeersmanagement;;;;;;;;;;;
;;;;;IPP-25;4.5;Participatie- en stakeholdermanagement;;;;;;;;;;;
IPP-35;Kwaliteit / KMS (eigen opdracht);IPP-46;;PB-Sturing (eigen opdracht);;;;ACT-94;;Managen kwaliteitssysteem;;;PRD-45;Kwaliteitssysteem;;;PRS-3;Marleen Aarts
;;;;;;;;ACT-95;;Opstellen verbetervoorstellen;TLS-32;Relatics;PRD-49;Verbeterregister;;;PRS-11;Tom van der Meijs
;;;;;;;;;;;TLS-96;MS Excel 365;;;;;;
;;;;;;;;ACT-96;;Uitvoeren audits;TLS-32;Relatics;PRD-48;Auditverslag;;;;
;;;;;;;;;;;TLS-95;MS Word 365;;;;;;
;;;;;;;;ACT-97;;Opstellen procesbeschrijvingen;TLS-32;Relatics;PRD-47;Procesbeschrijvingen;;;;
;;;;;;;;;;;TLS-95;MS Word 365;;;;;;
;;;;;;;;ACT-98;;Verifiëren proceseisen;TLS-32;Relatics;PRD-46;Verificatieplan;;;;
;;;;;;;;;;;TLS-96;MS Excel 365;PRD-325;Verificatierapport;;;;
;;;;;;;;ACT-99;;Evalueren;TLS-95;MS Word 365;PRD-101;Evaluatieverslag;;;;
IPP-53;Kwaliteit / KMS (klantvraag);IPP-47;;PB-Afbakening (klantopgave);;;;ACT-172;;Verifiëren product(eisen);TLS-32;Relatics;PRD-323;Verificatieplan;;;PRS-11;Tom van der Meijs
;;;;;;;;;;;TLS-96;MS Excel 365;PRD-324;Verificatierapport;;;;
;;;;;;;;ACT-173;;Valideren afbakening / (eind)resultaat;TLS-32;Relatics;PRD-326;Validatiedocument;;;;
;;;;;;;;;;;TLS-96;MS Excel 365;;;;;;
IPP-16;Ontwerpen;IPP-3;3;Technisch Management;IPP-41;3.1.1;Verkenning;ACT-48;5;Opstellen ontwerp (SO, VO, DO, UO) / BIM;TLS-34;Autodesk applicaties - CAD Basis, Infra en Inventor;PRD-75;Ontwerp (SO, VO, DO, UO);PRD-104;BIM Uitvoeringsplan (BUP);PRS-4;Wouter Schreuder
;;;;;IPP-42;3.1.2;Planstudie;;;;;;;;PRD-131;BIM Uitvoeringsplan Light (BUP);;
;;;;;IPP-43;3.1.3;Voorlopig ontwerp/Integraal ontwerp;ACT-50;;Circulair ontwerpen;;;PRD-76;Circulair ontwerp?;;;;
;;;;;IPP-44;3.1.4;Definitief ontwerp/Technisch Ontwerp;ACT-53;;Opstellen grondstoffenplan;;;PRD-77;Grondstoffenplan;;;;
;;;;;IPP-45;3.1.5;Uitvoeringsontwerp;ACT-54;;Opstellen energieplan;;;PRD-78;Energieplan;;;;
;;;;;;;;ACT-103;1;Opzetten (BIM-)structuur ontwerpspoor;TLS-32;Relatics;PRD-102;Common data environment ontwerpfase;;;;
;;;;;;;;;;;TLS-34;Autodesk applicaties - CAD Basis, Infra en Inventor;PRD-103;Mappenstructuur NEN ISO 19650;;;;
;;;;;;;;;;;TLS-98;MS Teams;PRD-105;Uitgangspuntennotitite ontwerp;;;;
;;;;;;;;;;;;;PRD-106;Tekeningenlijst;;;;
;;;;;;;;;;;;;PRD-107;Beoordelingsworkslows ACC;;;;
